中文（两字）,English (Full),Code Prefix,用途（详细）
项目,Project,Proj,"项目新建/打开/保存/另存；最近项目与模板；项目元数据（产品/批次/操作者/机台参数）；项目目录结构与资源索引；版本/快照与回滚；工作区与自动备份；项目打包与共享"
原图,Assets,Assets,"导入原始投影/平场/暗场/参考像；支持 DICOM/RAW/TIFF/VGI/VTI 等；批量校正（平场/暗场/归一化）、去噪与均衡；索引与缩略图；分组与标签；ROI 裁剪与重采样；数据完整性校验；批量重命名与元数据编辑"
重建,Reconstruction,Recon,"几何参数与标定读取；FBP/FDK/迭代（SART/TV 等）；限角/局部重建/锥束；GPU/CPU 调度与任务队列；断点续算与进度日志；多结果集管理（原始体、去噪体、子体）；重建质量评估（MTF/噪声/伪影指标）"
切面,Multi-Planar Reconstruction (Slice),Slice,"Axial/Sagittal/Coronal 正交切片；任意斜切与厚切（slab/mip/avg）；步进与联动十字线；像素间距与取样方式设置；窗宽窗位/LUT；切片导出（PNG/序列/视频）；与 3D 视图联动"
渲染,Volume Rendering,Render,"体绘制（光线投射/步进采样）；表面渲染与等值面（Marching Cubes）；多传递函数与LUT；截取盒/剪切平面；阴影/光照/环境遮蔽（可选）；相机书签与关键帧动画；截图与视频导出"
体选,Selection,Select,"框选/套索/刷选；阈值选取与范围限定；连通域/区域生长；形态学精修（开闭/细化）；基于几何约束的规则选取；结果作为掩膜/标签保存；多选层管理与统计"
体编,Voxel Editing,VoxEdit,"体素刷（加/减/擦除）；掩膜布尔运算（并/交/差/异或）；孔洞填充、细化、腐蚀/膨胀；裁剪/切割/镜像/重采样；按切片或三维生效；撤销/重做栈；批量对指定标签生效"
测量,Measurement,Measure,"点/点距离、角度、半径/直径；面积/周长/体积；截面轮廓与灰度剖面；统计（均值/方差/最大最小/直方图）；公差/规则判定与批量测量；标注与注释；结果表格导出（CSV/Excel）"
分割,Segmentation,Segmentation,"全局/自适应阈值、Otsu；区域生长/分水岭/图割/水平集；多类别标签图；半自动（涂鸦/交互点引导）；AI 推理（UNet/3DUNet 可接管）；后处理（形态学/孔洞修补/细化）；评估（Dice/IoU）"
配准,Registration,Registration,"基于点/面/体素强度的刚体/仿射/非刚体（B-Spline）；与 CAD/基准体/历史体对齐；多模态（XCT/CT/灰度体）支持；控制点与约束管理；误差指标（TRE/MSE/互信息）；变换链与应用到体/掩膜/测量"
转换,Conversion,Conversion,"体素间距/方向/原点设置；重采样与重切片；数据类型转换（uint16/float32 等）；强度归一化与窗宽窗位到 8/16bit；格式进出（MHD/NIfTI/VTI/VTK/TIFF/DICOM）；坐标系与单位转换"
试检,Inspection,Inspection,"规则与策略库（阈值、几何、统计、连通域）；孔隙度/气孔/裂纹/夹杂等指标；批处理/离线试检与复检；误报/漏报标注与复训闭环（可选）；结果打标签与通过/拒绝；检出物一键定位与批注"
配置,Configuration,Config,"全局/项目级参数；单位/坐标/配色主题；GPU/缓存/并发策略；默认重建与渲染预设；快捷键与工具栏布局；临时目录与数据路径；导入导出预设"
记录,Logging,Logging,"操作历史（撤销/重做）与命令流水；任务进度与性能统计；警告/错误集中展示；工程变更追踪与审计；可重放脚本记录；日志打包随项目存档"
脚本,Automation,Automation,"宏录制与重放；脚本调用（例如 Python/Lua 插件桥）；批处理流水线（导入→预处理→重建→切面→导出）；命令行/无头模式；定时/触发式自动运行；与外部系统的简单对接钩子"
报告,Reporting,Reporting,"版式模板（封面/摘要/正文/附录）；插入截图/切片/3D 视图与测量表；自动生成结论与统计；导出 PDF/Word/HTML；水印/签审流（如需离线评审）；（注：若在 ECT 统一，可仅保留导出接口）"
